sample	num_seqs	sum_len	min_len	avg_len	max_len	N50	N50_num	GC(%)	nReads	Shannon index	Viral_Count	Viral_Min_len	Viral_Max_len	Viral_Mean_len	Viral_Total_len	Viral_N50_len	Continent	Country
ERR2241733	373989	324742608	200	868.3	411336	1216	8463	51.47	214389314	4.22552	920	5001	170672	13743.15	12643697	16797	Europe	France
ERR2241734	223119	176366979	200	790.5	494354	975	5875	47.86	155290831	3.95445	252	5022	106841	13487.1	3398749	18500	Europe	France
ERR2241736	620388	450501679	200	726.2	256713	777	8245	48.13	149098201	4.38236	619	5011	149395	12615.75	7809150	15177	Europe	France
ERR2241737	897262	805087426	200	897.3	531444	1152	11911	49.4	200839396	5.15812	877	5003	282957	13343.93	11702625	16302	Europe	France
ERR2241738	136131	139368777	200	1023.8	370671	1817	5320	46.07	183215423	2.96893	323	5024	117265	12411.85	4009028	14832	Europe	France
ERR2241739	310964	269940040	200	868.1	399974	1070	7111	48.35	168145019	4.34495	510	5000	175866	13814.97	7045636	18086	Europe	France
ERR2241740	869431	790205479	200	908.9	756941	1209	12404	48.53	196336457	5.44749	899	5004	223181	13544.65	12176640	17541	Europe	France
ERR2241741	383996	348252642	200	906.9	405291	1183	8673	56.45	99825980	4.4668	486	5005	128790	12868.17	6253930	16320	Europe	France
ERR2241742	221814	193197972	200	871.0	285650	1106	6227	46.58	227535302	2.00518	401	5016	175559	13096.09	5251531	16594	Europe	France
ERR2241743	726177	668888043	200	921.1	483686	1228	11571	49.14	176935941	5.45555	737	5020	148603	13957.02	10286327	17585	Europe	France
ERR2241744	881265	776288193	200	880.9	555633	1139	11623	51.06	171762802	5.27528	862	5005	252664	12440.66	10723850	14360	Europe	France
ERR2241745	1694821	1386114205	200	817.9	206688	976	14163	45.53	218569657	5.87724	1815	5000	189399	9609.89	17441945	9615	Europe	Spain
ERR2241746	1324040	1035021525	200	781.7	185062	889	11777	46.35	151291465	5.52077	1245	5001	121220	10476.81	13043633	10981	Europe	Spain
ERR2241747	438753	358392657	200	816.8	282674	1020	8966	50.06	168666587	5.50941	757	5001	282674	12371.46	9365199	14947	Europe	Spain
ERR2241748	240523	201327135	200	837.0	254559	998	6413	50.01	195890073	3.68062	328	5006	60182	12470.13	4090203	14530	Europe	Spain
ERR2241749	305934	238614720	200	780.0	364574	848	7371	47.79	148959486	4.90854	487	5001	72566	10917.64	5316889	12089	Europe	Spain
ERR2241750	444988	355772009	200	799.5	310062	973	8661	51.51	190509418	4.81905	673	5001	108060	11149.98	7503936	12598	Europe	Spain
ERR2241751	1317920	1027252523	200	779.4	139589	890	11555	45.68	138713063	5.62663	1309	5003	60528	9448.96	12368686	9484	Europe	Spain
ERR2241752	603439	464562580	200	769.9	375275	841	9437	51.26	172277086	5.6116	625	5009	178906	12395.84	7747397	14231	Europe	Spain
ERR2241753	574936	432753855	200	752.7	360526	848	9175	50.12	188797553	5.52209	727	5008	174277	11853.77	8617693	13259	Europe	Spain
ERR2241754	515507	361184991	200	700.6	237509	710	8278	50.74	160938812	5.26706	733	5002	227052	11149.68	8172714	12055	Europe	Spain
ERR2241755	613186	474240741	200	773.4	254433	907	9759	50.53	194373611	5.51647	911	5003	146489	12048.92	10976563	14656	Europe	Spain
ERR2241756	261535	234484816	200	896.6	446351	1216	7104	49.8	141255993	4.84148	440	5001	88143	12471.12	5487291	14441	Europe	Spain
ERR2241757	1295908	1014593747	200	782.9	240163	891	11794	45.29	142501490	6.41771	1277	5000	240163	9326.09	11909415	9265	Europe	Spain
ERR2241758	429557	330430860	200	769.2	157383	854	8167	48.58	179569892	4.93957	709	5003	99625	10833.44	7680906	11618	Europe	Spain
ERR2241759	358248	284475019	200	794.1	621991	916	7358	48.07	185812025	4.99391	552	5005	193592	12925.97	7135138	15423	Europe	Spain
ERR2241760	754127	738134506	200	978.8	576318	1450	12709	49.2	177942867	6.1123	1097	5000	264076	11650.37	12780460	13201	Europe	Spain
ERR2241761	214728	170244097	200	792.8	301940	856	6290	47.04	149150609	4.11911	437	5001	236717	12696.39	5548321	14982	Europe	Spain
ERR2241762	255683	205538483	200	803.9	212852	920	6752	48.44	166085773	3.96796	312	5009	63129	11187.04	3490355	12268	Europe	Spain
ERR2241763	841826	796918628	200	946.7	992513	1275	12334	48.99	185626481	5.78166	1088	5000	99115	11786.95	12824201	13694	Europe	Spain
ERR2241764	205498	170640839	200	830.4	271186	956	5630	48.1	186473347	4.38257	298	5003	105744	12584.07	3750052	15438	Europe	Spain
ERR2241766	1169216	843021616	200	721.0	141843	780	9503	45.75	103250762	3.93962	805	5003	141843	9538.76	7678704	9637	Europe	Spain
ERR2241767	1820756	1396509106	200	767.0	203023	862	13012	45.05	203843315	6.44297	2546	5000	151901	9872.74	25135986	10132	Europe	Spain
ERR2241768	1517624	1207717290	200	795.8	272462	920	12776	45.59	171306959	6.42725	2123	5002	91391	11058.04	23476221	11819	Europe	Spain
ERR2241769	1616910	1355218300	200	838.2	332341	1019	14673	45.85	231821059	6.50762	2711	5000	160665	10789.04	29249092	11696	Europe	Spain
ERR2241770	315222	260177203	200	825.4	229085	1056	7864	50.91	178719395	4.88621	623	5003	81185	10619.94	6616225	11505	Europe	Spain
ERR2241771	1455641	1151738227	200	791.2	198068	910	13075	45.53	166646277	6.09568	1755	5000	77345	9565.55	16787545	9773	Europe	Spain
ERR2241772	1284175	974937701	200	759.2	167841	847	11254	46.06	129224395	4.94676	963	5000	57798	9008.26	8674951	8845	Europe	Spain
ERR2241773	1382816	1081314308	200	782.0	198433	892	12284	44.52	148411750	5.79691	1476	5001	78044	9555.47	14103875	9673	Europe	Spain
ERR2241774	1751513	1355358186	200	773.8	140473	878	13280	45.22	209965000	5.33974	1522	5000	138595	9419.65	14336709	9373	Europe	Spain
ERR2241775	1388256	1090815033	200	785.7	168075	891	13098	44.8	156170216	5.31194	1383	5001	86425	9406.35	13008982	9384	Europe	Spain
ERR2241776	1435338	1110924688	200	774.0	193667	875	12116	44.8	165106037	5.70262	1401	5004	163208	9442.8	13229359	9520	Europe	Spain
ERR2241777	1243575	925298993	200	744.1	213023	819	10666	44.6	138600737	5.29922	1119	5000	96965	9464.41	10590680	9379	Europe	Spain
ERR2241778	1512830	1142845876	200	755.4	207021	835	12234	45.76	167231115	5.36697	1249	5000	128533	10068.21	12575198	10876	Europe	Spain
ERR2241779	1378289	1085951676	200	787.9	266259	897	12696	45.85	155097768	4.96055	957	5001	122110	9797.01	9375736	10048	Europe	Spain
ERR2241780	1848025	1471581604	200	796.3	223941	917	14339	43.29	233789129	6.0405	2655	5000	126836	9480.5	25170720	9636	Europe	Spain
ERR2241781	1517626	1183120741	200	779.6	264247	883	12767	45.04	185221538	4.65912	1341	5001	135168	9634.37	12919696	9812	Europe	Spain
ERR2241782	1093841	814701627	200	744.8	382098	812	10412	45.19	113739623	5.65064	774	5000	71196	9251.77	7160871	9108	Europe	Spain
ERR2241783	769201	642064498	200	834.7	497496	1023	10265	50.07	223092348	5.65887	910	5002	126108	11410.45	10383514	12957	Europe	Spain
ERR2241784	546054	446023729	200	816.8	601267	972	8960	50.44	181841489	4.45623	626	5012	90927	11099.59	6948343	12662	Europe	Spain
ERR2241785	450735	370949573	200	823.0	327920	996	8569	45.67	90209275	5.79946	684	5001	285587	10941.43	7483936	11459	Europe	Belgium
ERR2241786	485770	403333045	200	830.3	285732	1026	8832	46.08	90759735	5.54262	596	5008	285732	11001.08	6556641	11578	Europe	Belgium
ERR2241787	485086	403906959	200	832.7	152054	1027	9078	45.16	93134635	5.95939	739	5009	79033	10540.02	7789076	10885	Europe	Belgium
ERR2241788	102857	109889669	200	1068.4	404394	2028	4279	45.62	136730973	4.50461	342	5001	122299	13462.9	4604312	16914	Europe	Belgium
ERR2241789	678538	517897374	200	763.3	149829	868	8934	45.33	79013394	5.2178	450	5004	41810	9261.34	4167602	9363	Europe	Belgium
ERR2241790	321850	250845076	200	779.4	318088	845	7057	46.96	179023400	4.74056	537	5001	67028	11928.27	6405483	13770	Europe	Belgium
ERR2241791	84762	70881834	200	836.2	171180	1013	3592	48.65	132419818	2.81759	143	5042	60047	13167.18	1882907	16271	Europe	Belgium
ERR2241792	588329	463903175	200	788.5	293176	917	9086	45.32	72672837	5.55182	524	5006	118615	10101.35	5293110	10733	Europe	Belgium
ERR2241793	1294016	979787260	200	757.2	250436	881	12052	44.5	163270433	6.44594	1517	5000	250436	9731.01	14761944	9740	Europe	Belgium
ERR2241794	335935	261371122	200	778.0	287545	889	7246	50.82	159336117	4.66836	577	5009	73598	12343.23	7122045	14594	Europe	Belgium
ERR2241795	221049	177929369	200	804.9	198165	926	6155	47.17	128022825	4.60658	359	5036	198165	14185.87	5092727	17658	Europe	Belgium
ERR2241796	1050552	819004112	200	779.6	178326	899	10874	45.52	118811123	5.22554	557	5003	102321	10226.28	5696036	10295	Europe	Belgium
ERR2241797	1439038	1149427969	200	798.7	396085	990	13089	44.23	189411582	6.18173	1217	5000	311292	10429.04	12692138	10635	Europe	Belgium
ERR2241798	431704	350514970	200	811.9	651407	1056	8336	48.86	171447034	4.85347	751	5001	227940	12865.62	9662084	15889	Europe	Belgium
ERR2241799	406017	377254832	200	929.2	446452	1281	9028	48.57	169082660	4.79366	865	5005	380751	14987.96	12964589	20531	Europe	Belgium
ERR2241800	1305826	994499942	200	761.6	135698	898	11333	43.0	144252491	6.33518	1391	5000	135698	10090.37	14035711	10403	Europe	Belgium
ERR2241801	266069	228057127	200	857.1	194445	1262	7479	49.54	136601154	5.19644	740	5004	124680	13059.19	9663798	17203	Europe	Belgium
ERR2241802	372063	336025595	200	903.1	822024	1197	7962	48.44	139876230	4.9385	717	5001	136751	12465.27	8937596	14776	Europe	Belgium
ERR2241803	112780	113028786	200	1002.2	314073	1608	4738	48.15	133646097	4.24352	357	5004	156191	14131.56	5044968	18879	Europe	Belgium
ERR2241804	1290611	966514740	200	748.9	146357	880	11841	44.99	157315188	5.4095	478	5001	60930	8871.34	4240500	8881	Europe	Belgium
ERR2241805	305566	211308596	200	691.5	257548	686	6124	46.79	164722507	4.08445	421	5010	257548	14786.93	6225297	19498	Europe	Belgium
ERR2241806	238343	186011798	200	780.4	343769	869	5936	47.94	147485848	4.00068	408	5008	180910	13725.68	5600078	16697	Europe	Belgium
ERR2241807	284990	228939719	200	803.3	197913	964	7006	47.76	148760071	4.54302	386	5000	74742	12123.84	4679801	14974	Europe	Belgium
ERR2241808	262377	226501561	200	863.3	420684	1177	7072	48.26	151432955	4.75956	699	5000	145680	13266.23	9273092	16689	Europe	Belgium
ERR2241809	258801	225569927	200	871.6	593686	1118	6905	47.86	157405263	4.85527	520	5000	174952	13473.65	7006297	18303	Europe	Belgium
ERR2241810	848876	670377883	200	789.7	166964	928	10581	44.92	102594397	5.5047	775	5006	96786	9288.93	7198923	9410	Europe	Belgium
ERR2241811	1065291	882778385	200	828.7	160333	1037	12319	45.61	161888886	5.84489	906	5011	84431	10082.32	9134580	10845	Europe	Belgium
ERR2241812	1145346	903398917	200	788.8	271994	936	12211	46.87	152934273	5.56017	747	5002	61973	8850.83	6611573	8876	Europe	Belgium
ERR2241813	1340466	1023891766	200	763.8	213133	894	12200	44.89	162300723	6.2168	1187	5002	92235	9589.36	11382573	9774	Europe	Belgium
ERR2241814	632901	463657246	200	732.6	135255	800	7995	45.23	74070233	5.11509	351	5004	45254	8961.58	3145515	8940	Europe	Belgium
ERR2241815	575030	457750101	200	796.0	366550	876	9539	48.97	190337353	5.12165	606	5003	228738	13201.48	8000094	16620	Europe	Belgium
ERR2241816	1128477	860242334	200	762.3	132038	870	11167	45.98	134083415	5.59483	736	5000	64728	8799.44	6476390	8814	Europe	Belgium
ERR2241817	1338977	1022368268	200	763.5	131773	870	12144	45.61	149875970	6.12283	919	5000	68661	9171.11	8428251	9261	Europe	Belgium
ERR2241818	265212	189320203	200	713.8	245231	726	5892	45.67	164445138	4.19334	338	5016	110056	11380.61	3846647	13552	Europe	Belgium
ERR2241819	248723	196761136	200	791.1	236621	929	6386	49.93	178221116	3.75736	413	5019	236621	13378.21	5525199	17187	Europe	Belgium
ERR2241820	1025620	799326617	200	779.4	194241	888	10799	43.58	112236304	7.01762	2605	5001	143211	10551.94	27487815	11009	Europe	Belgium
ERR2241821	1155982	866218929	200	749.3	256565	849	10687	42.21	118782286	6.70585	1992	5002	256565	9734.74	19391612	9891	Europe	Belgium
ERR2241822	848661	642134879	200	756.6	239403	848	9325	42.25	87119581	6.51386	1644	5000	239403	10235.87	16827769	10721	Europe	Belgium
ERR2241823	744736	442492681	200	594.2	230074	580	7769	46.89	182716146	4.86316	700	5000	230074	12601.23	8820860	14449	Europe	Belgium
ERR2241824	682308	577693058	200	846.7	578023	1085	10824	51.58	176024234	4.12446	876	5000	256632	12839.86	11247717	15436	Europe	Belgium
ERR2241825	1142100	781830724	200	684.6	163341	736	8501	41.66	95355357	6.64659	1834	5000	163341	8992.5	16492243	8885	Europe	Belgium
ERR2241826	1477296	1054931484	200	714.1	146773	791	10261	41.91	131231739	7.06284	2912	5000	90152	9323.36	27149622	9363	Europe	Belgium
ERR2241827	1115612	849617452	200	761.6	164248	878	11415	46.7	140789557	5.34372	561	5003	56621	8816.69	4946162	8743	Europe	Italy
ERR2241828	282472	240519885	200	851.5	393782	1245	7631	49.11	143867612	5.24888	726	5006	149193	12223.69	8874396	14249	Europe	Italy
ERR2241829	594821	447793471	200	752.8	122217	843	8057	46.04	76361246	4.51232	197	5008	40567	9096.09	1791929	9161	Europe	Italy
ERR2241830	973856	715623619	200	734.8	126959	816	9956	45.41	104001946	5.21166	480	5000	44442	8550.84	4104405	8335	Europe	Italy
ERR2241831	2054330	1499947527	200	730.1	255908	793	12316	42.44	203763171	7.0298	2242	5000	95622	8774.83	19673175	8576	Europe	Italy
ERR2241832	1232491	868317320	200	704.5	145346	751	9578	44.3	113865071	6.31891	1131	5004	145346	9135.37	10332104	8949	Europe	Italy
ERR2241833	762079	589422733	200	773.4	135622	917	9403	45.89	91156024	4.7208	345	5016	33892	8198.61	2828520	8211	Europe	Italy
ERR2241834	1238630	894646824	200	722.3	155610	785	10239	43.21	127322977	5.69156	967	5000	91220	8713.5	8425951	8530	Europe	Italy
ERR2241835	1241797	911890302	200	734.3	149666	828	10737	44.12	136736655	6.07817	1114	5000	109490	8878.97	9891172	8805	Europe	Italy
ERR2241836	771472	564708807	200	732.0	214424	796	8830	44.25	86851617	5.6887	621	5011	101088	8929.43	5545174	8933	Europe	Italy
ERR2241837	817140	616279724	200	754.2	119355	858	9588	45.62	96407861	5.74392	710	5011	102146	10000.84	7100593	9798	Europe	Italy
ERR2241838	978731	733593717	200	749.5	322174	833	10125	45.64	120018181	5.20177	339	5013	67698	8816.46	2988779	8665	Europe	Italy
ERR2241839	1018050	746023191	200	732.8	278385	820	10516	45.41	120861449	5.37189	532	5015	81060	9016.85	4796962	8777	Europe	Italy
ERR2241840	1233476	902211749	200	731.4	150658	813	10994	45.0	136861139	4.90119	432	5000	49228	7983.06	3448681	7647	Europe	Italy
ERR2241841	1480284	1080155272	200	729.7	199762	805	11049	44.38	176700742	6.27304	1237	5001	64440	8785.29	10867408	8633	Europe	Italy
ERR2241842	1082441	796372130	200	735.7	174794	820	10104	45.33	114400183	5.47406	515	5000	75709	8387.13	4319371	8313	Europe	Italy
ERR2241843	1324703	961288932	200	725.7	153080	794	10915	44.72	134382959	6.15967	1190	5001	130974	8985.84	10693149	8987	Europe	Italy
ERR2241844	1014752	737483186	200	726.8	169834	818	10491	46.29	122077667	4.97674	300	5004	50400	8327.87	2498362	8120	Europe	Italy
ERR2241845	1146437	841947796	200	734.4	197149	807	10535	45.7	119124997	5.62768	690	5005	57319	8939.98	6168587	8932	Europe	Italy
ERR2241846	1267554	918538019	200	724.7	182724	794	10296	44.83	124544622	5.83312	758	5000	88487	8821.15	6686434	8389	Europe	Italy
ERR2241847	1443970	1058535647	200	733.1	172708	815	11811	45.02	152210328	5.95948	775	5000	69515	8537.82	6616812	8124	Europe	Italy
ERR2241848	403575	334835525	200	829.7	540770	991	7821	49.0	137152989	4.155	643	5012	160587	13037.13	8382876	15965	Europe	Italy
ERR2241849	480048	397728914	200	828.5	710274	1005	8702	50.69	146464260	5.11601	619	5002	158425	12711.43	7868376	14870	Europe	Italy
ERR2241850	960723	813502515	200	846.8	452055	1060	11909	49.22	157845847	5.93429	1173	5001	236901	13212.23	15497946	16225	Europe	Italy
ERR2241851	534740	444563672	200	831.4	255131	1128	9879	51.86	195713822	5.0658	862	5001	74212	11411.24	9836490	13475	Europe	Italy
ERR2241852	917370	783028062	200	853.6	690314	1037	11102	50.03	182080298	5.65109	1174	5002	364788	12402.92	14561030	14467	Europe	Italy
ERR2241853	455411	347816626	200	763.7	551929	894	8395	48.58	156569475	5.38266	726	5001	124336	11245.63	8164329	12287	Europe	Italy
ERR2241854	707046	572847200	200	810.2	415719	959	10229	49.86	152485149	5.56852	881	5005	176190	11533.5	10161011	12959	Europe	Italy
ERR2241855	622615	538709039	200	865.2	601180	1089	10117	49.77	125978883	5.79761	1019	5004	284363	12900.67	13145783	14959	Europe	Italy
ERR2241856	448369	380239850	200	848.1	866735	1084	8734	49.54	155564446	5.36797	799	5010	100052	11311.07	9037544	12220	Europe	Italy
ERR2241857	264970	218092774	200	823.1	224163	1184	7185	49.89	143100357	5.45814	735	5006	224163	12915.81	9493117	15756	Europe	Italy
ERR2241858	737227	636626084	200	863.5	479241	1072	10376	49.67	204550229	4.68145	1247	5000	261861	13122.6	16363882	16395	Europe	Italy
ERR2241859	640989	505515690	200	788.6	261238	911	9225	47.77	139035498	5.23835	966	5003	143453	12044.72	11635197	14115	Europe	Italy
ERR2241860	234157	216924175	200	926.4	363386	1385	6969	45.13	108473366	5.55567	720	5000	140479	11791.19	8489660	13329	Europe	Italy
ERR2241861	261921	218996245	200	836.1	390986	1067	6673	46.8	129270120	3.77594	618	5004	273225	12343.18	7628088	14482	Europe	Italy
ERR2241862	802776	641450562	200	799.0	481899	940	10061	49.74	157557106	5.34472	1032	5001	137129	12341.39	12736310	14463	Europe	Italy
ERR2241863	726863	610013658	200	839.2	529255	1028	10430	50.78	173855281	5.30259	897	5001	185974	12166.51	10913363	14446	Europe	Italy
ERR2241864	673208	458517572	200	681.1	416309	655	8416	48.49	182275602	3.99452	636	5012	162945	12470.66	7931338	14812	Europe	Italy
ERR2241865	416292	340446403	200	817.8	471921	954	8453	47.07	162077968	4.67683	713	5004	263057	12186.73	8689137	13988	Europe	Italy
ERR2241866	232173	217452992	200	936.6	474466	1373	6549	48.39	204352202	4.83778	506	5010	146893	13076.19	6616554	16710	Europe	Italy
ERR2241867	969969	743107394	200	766.1	188608	915	10699	45.74	123576830	4.61342	250	5011	33818	8511.94	2127986	8410	Europe	Poland
ERR2241868	799420	629768683	200	787.8	200385	953	10767	46.25	112093816	4.60184	275	5002	106624	9919.48	2727856	9644	Europe	Poland
ERR2241869	1115453	856384346	200	767.7	180822	891	10858	45.08	134462882	5.23985	504	5001	32776	8479.81	4273822	8357	Europe	Poland
ERR2241870	1430094	1123279819	200	785.5	311659	949	12942	45.38	173537533	6.13871	955	5000	64256	9221.39	8806430	9324	Europe	Poland
ERR2241871	759126	595155490	200	784.0	177403	939	9807	44.18	92149747	5.32068	471	5011	95659	9851.8	4640196	10085	Europe	Poland
ERR2241872	471854	301765171	200	639.5	83991	644	5890	46.96	48521631	3.91492	108	5034	45802	9250.21	999023	9170	Europe	Poland
ERR2241873	780218	601750450	200	771.3	370183	911	10227	45.89	106621675	5.06332	414	5001	96005	8567.79	3547065	8333	Europe	Poland
ERR2241874	924214	751289049	200	812.9	205570	1022	11437	46.07	132535115	5.94799	778	5003	72824	8820.17	6862089	8922	Europe	Poland
ERR2241875	1193773	927355894	200	776.8	170414	935	11259	45.16	140962878	5.75457	591	5002	62972	9035.65	5340069	9137	Europe	Poland
ERR2241876	1062333	847889931	200	798.1	164549	969	11688	45.02	129238420	5.50338	617	5006	141378	8911.5	5498396	8608	Europe	Poland
ERR2241877	804438	598902261	200	744.5	184222	876	9793	46.25	99654120	3.90441	180	5004	60509	9242.03	1663566	9142	Europe	Poland
ERR2241878	1151129	870041406	200	755.8	446123	843	11183	45.87	130350947	5.66127	639	5000	61110	9357.78	5979624	9603	Europe	Poland
ERR2241879	1167973	899843033	200	770.4	309508	909	11828	45.02	136102799	5.45885	682	5004	71245	9314.92	6352774	9535	Europe	Poland
ERR2241880	1172215	880119662	200	750.8	169597	856	10916	45.08	126315693	5.85712	838	5001	78432	9609.22	8052526	10049	Europe	Poland
ERR2241881	1068695	813762657	200	761.5	339987	898	11447	45.23	136457506	5.71545	572	5008	84857	9684.93	5539782	10049	Europe	Poland
ERR2241882	1150014	914139632	200	794.9	129015	960	11803	45.31	132922807	6.02941	804	5004	97931	10175.95	8181465	10427	Europe	Poland
ERR2241883	998674	765665429	200	766.7	442147	890	11194	43.97	125223493	5.77045	870	5001	69323	8654.8	7529680	8665	Europe	Poland
ERR2241884	966894	732275759	200	757.3	330251	886	11022	45.45	131004355	5.76043	734	5005	100509	9149.84	6715985	8767	Europe	Poland
ERR2241885	1565109	1197482085	200	765.1	368892	895	13169	44.26	181651659	6.38611	1389	5000	119413	9039.53	12555901	9078	Europe	Poland
ERR2241886	1161364	989866950	200	852.3	289683	1089	13607	44.05	167736571	6.10246	1168	5002	90553	10140.12	11843659	10659	Europe	Poland
ERR2241887	277240	228509037	200	824.2	583968	956	6527	45.06	178842417	3.88266	345	5019	99405	12111.04	4178310	14651	Europe	Poland
ERR2241888	607759	546621560	200	899.4	460907	1199	10440	51.18	187431752	5.68221	877	5001	239424	13948.57	12232900	18047	Europe	Poland
ERR2241889	640324	515213688	200	804.6	994821	930	9207	49.14	201562916	5.46611	1020	5000	239395	12690.3	12944105	15172	Europe	Poland
ERR2241890	699649	575186597	200	822.1	833140	957	9514	48.39	182415687	4.19929	906	5002	241395	14988.07	13579193	20997	Europe	Poland
ERR2241891	568397	381110909	200	670.5	440346	652	7556	48.03	166398469	4.03112	450	5001	223512	14141.87	6363842	20077	Europe	Poland
ERR2241892	319122	269750008	200	845.3	427809	1096	7648	49.02	201513053	5.03591	560	5003	193984	12214.74	6840257	14323	Europe	Poland
ERR2241893	205248	202859496	200	988.4	267676	1766	7081	46.77	154169048	4.78343	562	5001	177509	11629.96	6536035	12813	Europe	Poland
ERR2241894	144863	122443118	200	845.2	211365	1151	5055	45.55	176466529	3.41374	370	5001	126764	12183.72	4507977	14422	Europe	Poland
ERR2241895	579032	454769429	200	785.4	340708	945	9571	48.45	379103932	5.2763	899	5008	162364	12744.31	11457133	14804	Europe	Poland
ERR2241896	449172	362520466	200	807.1	605162	968	8115	49.32	206570107	4.03971	619	5007	165186	13912.68	8611952	19005	Europe	Poland
ERR2241897	363317	290239296	200	798.9	254485	1000	8201	50.43	163885486	5.2472	612	5006	94680	12706.55	7776409	15389	Europe	Poland
ERR2241898	298317	274879409	200	921.4	238871	1408	8211	50.45	154745802	5.25432	609	5000	238871	12801.37	7796034	15660	Europe	Poland
ERR2241899	329211	281977154	200	856.5	203067	1234	8014	47.76	149463812	4.98109	697	5001	82877	11305.57	7879984	12407	Europe	Poland
ERR2241900	263540	273187105	200	1036.6	324839	1811	7962	46.9	175282654	5.18521	687	5001	148490	11432.42	7854072	12626	Europe	Poland
ERR2241901	331205	279996690	200	845.4	428744	1368	8223	50.32	171451085	4.34595	814	5002	135473	13148.65	10703005	16881	Europe	Poland
ERR2241902	214490	201207502	200	938.1	230587	1450	6950	52.8	136915396	5.05196	548	5013	190321	14356.63	7867433	18023	Europe	Poland
ERR2241903	432616	332797576	200	769.3	354503	891	7868	50.74	181395762	4.8866	626	5013	224814	13401.96	8389624	17580	Europe	Poland
ERR2241904	565733	533980821	200	943.9	750768	1365	10437	48.96	176134503	5.79701	929	5000	165185	14526.84	13495438	20456	Europe	Poland
ERR2241905	330974	304658832	200	920.5	469240	1236	7563	48.76	139693764	5.0521	570	5011	352440	17087.72	9740002	29721	Europe	Poland
ERR2241906	186888	175929674	200	941.4	160781	1525	6674	44.85	160627998	4.72233	533	5009	139092	11764.29	6270368	13136	Europe	Poland
ERR2241907	312624	226398967	200	724.2	1260503	763	6731	47.15	133940352	4.34748	317	5005	107220	13078.99	4146040	16293	Europe	Denmark
ERR2241908	537000	482589688	200	898.7	162684	1185	10025	46.09	109960662	5.42655	685	5002	55100	9196.62	6299684	9470	Europe	Denmark
ERR2241909	489189	440467149	200	900.4	550132	1233	9411	49.27	133813417	4.71769	669	5006	266045	14215.1	9509904	17990	Europe	Denmark
ERR2241910	638901	561550241	200	878.9	305780	1117	10599	46.81	125420094	5.54677	512	5012	155589	8896.69	4555104	8826	Europe	Denmark
ERR2241911	156034	159871077	200	1024.6	354113	1651	5978	49.4	124021961	4.33844	304	5001	265309	15821.32	4809680	25796	Europe	Denmark
ERR2241912	477969	375821970	200	786.3	185403	904	8141	46.22	86111566	1.48583	374	5008	101998	9518.86	3560054	9484	Europe	Denmark
ERR2241913	142909	126648566	200	886.2	178258	1286	5485	43.73	139390741	4.57119	359	5015	56940	10129.08	3636339	10819	Europe	Denmark
ERR2241914	575307	482464715	200	838.6	296342	1026	9242	46.31	109133448	2.11681	443	5007	36824	8744.01	3873596	8514	Europe	Denmark
ERR2241915	163775	143093297	200	873.7	976430	1188	5243	46.79	141177351	4.0913	322	5001	177941	14214.54	4577083	19453	Europe	Denmark
ERR2241916	814730	711678979	200	873.5	239602	1117	11642	44.18	179819127	3.95446	1695	5000	77091	9042.75	15327468	9262	Europe	Denmark
ERR2241917	253118	237660197	200	938.9	825298	1279	6993	48.51	142146407	3.98513	456	5003	95652	13631.63	6216025	17225	Europe	Denmark
ERR2241918	820210	691228803	200	842.7	205572	1045	10959	44.43	158157715	3.94094	1505	5001	92264	9176.78	13811047	9345	Europe	Denmark
ERR2241919	218782	204243313	200	933.5	684049	1307	6090	48.93	148229905	4.9963	474	5001	153385	13449.15	6374899	17926	Europe	Denmark
ERR2241920	838722	721950720	200	860.8	210962	1088	11089	43.93	180008816	2.84117	1732	5000	78047	8844.53	15318725	8911	Europe	Denmark
ERR2241921	231023	208572064	200	902.8	589532	1195	6488	49.21	118906039	5.09186	457	5002	143388	11760.67	5374627	12777	Europe	Denmark
ERR2241922	556987	446301108	200	801.3	196751	938	8808	43.99	97515092	6.3325	1204	5007	195280	9925.66	11950490	10066	Europe	Denmark
ERR2241923	353413	299099489	200	846.3	500414	1025	7212	48.99	150507549	3.99453	471	5002	122197	12604.9	5936906	14875	Europe	Denmark
ERR2241924	703562	569973099	200	810.1	146003	961	9544	43.96	128499597	6.42925	1377	5000	76367	8941.62	12312609	8934	Europe	Denmark
ERR2241925	166652	160763010	200	964.7	391409	1596	6027	46.35	172576163	4.31297	374	5001	144113	14040.89	5251292	18945	Europe	Denmark
ERR2241926	1125471	798933686	200	709.9	191991	792	9380	41.9	111069960	6.92596	2366	5000	92827	8946.84	21168233	8900	Europe	Denmark
ERR2241927	263748	250760223	200	950.8	659584	1475	7311	49.05	140117274	4.73888	571	5011	315956	14096.43	8049060	17796	Europe	Denmark
ERR2241928	1075413	820892032	200	763.3	272583	890	10798	42.71	121715008	6.678	2155	5000	158376	9673.99	20847447	9805	Europe	Denmark
ERR2241929	503438	453282562	200	900.4	493674	1144	9106	47.86	187340335	4.36437	713	5013	237244	13453.79	9592553	16582	Europe	Denmark
ERR2241930	1480633	1102877090	200	744.9	156061	835	11511	43.06	141756365	6.89446	2356	5001	118672	9503.14	22389393	9785	Europe	Denmark
ERR2241931	166300	141614150	200	851.6	244596	1047	5564	46.76	173009239	3.86971	303	5036	142799	12244.09	3709958	14248	Europe	Denmark
